band,bandLabel,personLabel,birthDate,deathDate
http://www.wikidata.org/entity/Q72092,Rage Against the Machine,Tim Commerford,1968-02-26T00:00:00Z,
http://www.wikidata.org/entity/Q61236,The New Pornographers,Dan Bejar,1972-10-04T00:00:00Z,
http://www.wikidata.org/entity/Q49724,Hoobastank,Doug Robb,1975-01-02T00:00:00Z,
http://www.wikidata.org/entity/Q273171,"Emerson, Lake & Palmer",Carl Palmer,1950-03-20T00:00:00Z,
http://www.wikidata.org/entity/Q278901,Shturtzite,Kiril Marichkov,1944-10-30T00:00:00Z,
http://www.wikidata.org/entity/Q50040,Dire Straits,Mark Knopfler,1949-08-12T00:00:00Z,
http://www.wikidata.org/entity/Q2306,Pink Floyd,Syd Barrett,1946-01-06T00:00:00Z,2006-07-07T00:00:00Z
http://www.wikidata.org/entity/Q461448,Seether,Shaun Morgan,1978-12-21T00:00:00Z,
http://www.wikidata.org/entity/Q464749,Journey,Ross Valory,1949-02-02T00:00:00Z,
http://www.wikidata.org/entity/Q464749,Journey,Steve Perry,1949-01-22T00:00:00Z,
http://www.wikidata.org/entity/Q464749,Journey,Neal Schon,1954-02-27T00:00:00Z,
http://www.wikidata.org/entity/Q268160,The White Stripes,Jack White,1975-07-09T00:00:00Z,
http://www.wikidata.org/entity/Q268160,The White Stripes,Meg White,1974-12-10T00:00:00Z,
http://www.wikidata.org/entity/Q266496,Staind,Aaron Lewis,1972-04-13T00:00:00Z,
http://www.wikidata.org/entity/Q2331,Led Zeppelin,Jason Bonham,1966-07-15T00:00:00Z,
http://www.wikidata.org/entity/Q2331,Led Zeppelin,John Paul Jones,1946-01-03T00:00:00Z,
http://www.wikidata.org/entity/Q2331,Led Zeppelin,Jimmy Page,1944-01-09T00:00:00Z,
http://www.wikidata.org/entity/Q250421,Killing Joke,Geordie Walker,1958-12-18T00:00:00Z,
http://www.wikidata.org/entity/Q250421,Killing Joke,Jaz Coleman,1960-02-26T00:00:00Z,
http://www.wikidata.org/entity/Q250421,Killing Joke,Martin Glover,1960-12-27T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Mick Abrahams,1943-04-07T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,David Goodier,1954-09-13T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Maartin Allcock,1957-01-05T00:00:00Z,2018-09-16T00:00:00Z
http://www.wikidata.org/entity/Q192353,Jethro Tull,Andrew Giddings,1963-07-10T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Gerry Conway,1947-09-11T00:00:00Z,
http://www.wikidata.org/entity/Q483248,F.T. Island,Lee Hong-gi,1990-02-06T00:00:00Z,
http://www.wikidata.org/entity/Q483248,F.T. Island,Lee Hong-gi,1990-03-02T00:00:00Z,
http://www.wikidata.org/entity/Q483248,F.T. Island,Choi Jong-hoon,1990-03-07T00:00:00Z,
http://www.wikidata.org/entity/Q483248,F.T. Island,Lee Jae-jin,1991-12-17T00:00:00Z,
http://www.wikidata.org/entity/Q483718,Foo Fighters,Dave Grohl,1969-01-14T00:00:00Z,
http://www.wikidata.org/entity/Q483718,Foo Fighters,Chris Shiflett,1971-05-06T00:00:00Z,
http://www.wikidata.org/entity/Q2331,Led Zeppelin,John Bonham,1948-05-31T00:00:00Z,1980-09-25T00:00:00Z
http://www.wikidata.org/entity/Q2331,Led Zeppelin,Robert Plant,1948-08-20T00:00:00Z,
http://www.wikidata.org/entity/Q267720,Van Canto,Bastian Emig,1980-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q47871,Green Day,Jason Freese,1975-01-12T00:00:00Z,
http://www.wikidata.org/entity/Q47871,Green Day,Mike Dirnt,1972-05-04T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Doane Perry,1954-06-16T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Jonathan Noyce,1971-07-15T00:00:00Z,
http://www.wikidata.org/entity/Q192353,Jethro Tull,Peter-John Vettese,1956-08-15T00:00:00Z,
http://www.wikidata.org/entity/Q285966,Hawkwind,Lemmy,1945-12-24T00:00:00Z,2015-12-28T00:00:00Z
http://www.wikidata.org/entity/Q285966,Hawkwind,Michael Moorcock,1939-12-18T00:00:00Z,
http://www.wikidata.org/entity/Q478721,Rapture,Sami Hinkka,1978-04-27T00:00:00Z,
http://www.wikidata.org/entity/Q483248,F.T. Island,Oh Won-bin,1990-03-26T00:00:00Z,
http://www.wikidata.org/entity/Q478140,The Ides of March,Jim Peterik,1950-11-11T00:00:00Z,
http://www.wikidata.org/entity/Q192486,Kings of Leon,Nathan Followill,1979-06-26T00:00:00Z,
http://www.wikidata.org/entity/Q192486,Kings of Leon,Jared Followill,1986-11-20T00:00:00Z,
http://www.wikidata.org/entity/Q192486,Kings of Leon,Caleb Followill,1982-01-14T00:00:00Z,
http://www.wikidata.org/entity/Q192486,Kings of Leon,Matthew Followill,1984-09-10T00:00:00Z,
http://www.wikidata.org/entity/Q251742,Cain's Offering,Jukka Koskinen,1981-07-16T00:00:00Z,
http://www.wikidata.org/entity/Q251742,Cain's Offering,Timo Kotipelto,1969-03-15T00:00:00Z,
http://www.wikidata.org/entity/Q251742,Cain's Offering,Jens Johansson,1963-11-02T00:00:00Z,
http://www.wikidata.org/entity/Q251742,Cain's Offering,Jani Liimatainen,1980-09-09T00:00:00Z,
http://www.wikidata.org/entity/Q272239,Twisted Sister,Mark Mendoza,1955-07-13T00:00:00Z,
http://www.wikidata.org/entity/Q272239,Twisted Sister,Jay Jay French,1952-07-20T00:00:00Z,
http://www.wikidata.org/entity/Q272239,Twisted Sister,A. J. Pero,1959-10-14T00:00:00Z,2015-03-20T00:00:00Z
http://www.wikidata.org/entity/Q272239,Twisted Sister,Eddie Ojeda,1955-08-05T00:00:00Z,
http://www.wikidata.org/entity/Q2306,Pink Floyd,David Gilmour,1946-03-06T00:00:00Z,
http://www.wikidata.org/entity/Q45650,Free,Tetsu Yamauchi,1946-10-21T00:00:00Z,
http://www.wikidata.org/entity/Q251742,Cain's Offering,Jani Hurula,1981-06-02T00:00:00Z,
http://www.wikidata.org/entity/Q45650,Free,Simon Kirke,1949-07-28T00:00:00Z,
http://www.wikidata.org/entity/Q75788,Eluveitie,Kay Brem,1982-01-08T00:00:00Z,
http://www.wikidata.org/entity/Q75788,Eluveitie,Meri Tadic,1982-08-15T00:00:00Z,
http://www.wikidata.org/entity/Q75788,Eluveitie,Nicole Ansperger,1981-12-10T00:00:00Z,
http://www.wikidata.org/entity/Q75788,Eluveitie,Chrigel Glanzmann,1975-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q75788,Eluveitie,Ivo Henzi,1983-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q75788,Eluveitie,Anna Murphy,1989-08-10T00:00:00Z,
http://www.wikidata.org/entity/Q273171,"Emerson, Lake & Palmer",Keith Emerson,1944-11-02T00:00:00Z,2016-03-10T00:00:00Z
http://www.wikidata.org/entity/Q273171,"Emerson, Lake & Palmer",Greg Lake,1947-11-10T00:00:00Z,2016-12-07T00:00:00Z
http://www.wikidata.org/entity/Q396,U2,Bono,1960-05-10T00:00:00Z,
http://www.wikidata.org/entity/Q396,U2,Larry Mullen Jr.,1961-10-31T00:00:00Z,
http://www.wikidata.org/entity/Q82545,Sex Pistols,John Lydon,1956-01-31T00:00:00Z,
http://www.wikidata.org/entity/Q82545,Sex Pistols,Steve Jones,1955-09-03T00:00:00Z,
http://www.wikidata.org/entity/Q82545,Sex Pistols,Sid Vicious,1957-05-10T00:00:00Z,1979-02-02T00:00:00Z
http://www.wikidata.org/entity/Q82545,Sex Pistols,Glen Matlock,1956-08-27T00:00:00Z,
http://www.wikidata.org/entity/Q250421,Killing Joke,Paul Ferguson,1958-03-31T00:00:00Z,
http://www.wikidata.org/entity/Q483718,Foo Fighters,Nate Mendel,1968-12-02T00:00:00Z,
http://www.wikidata.org/entity/Q483718,Foo Fighters,Taylor Hawkins,1972-02-17T00:00:00Z,
http://www.wikidata.org/entity/Q473466,Paramore,Hayley Williams,1988-12-27T00:00:00Z,
http://www.wikidata.org/entity/Q473466,Paramore,Taylor York,1989-12-17T00:00:00Z,
http://www.wikidata.org/entity/Q286265,Nomadi,Beppe Carletti,1946-08-12T00:00:00Z,
http://www.wikidata.org/entity/Q286265,Nomadi,Daniele Campani,1961-07-04T00:00:00Z,
http://www.wikidata.org/entity/Q286265,Nomadi,Massimo Vecchi,1970-12-30T00:00:00Z,
http://www.wikidata.org/entity/Q286265,Nomadi,Sergio Reggioli,1970-09-19T00:00:00Z,
http://www.wikidata.org/entity/Q286265,Nomadi,Cico Falzone,1956-07-31T00:00:00Z,
http://www.wikidata.org/entity/Q275059,Foreigner,Ian McDonald,1946-06-25T00:00:00Z,
http://www.wikidata.org/entity/Q275059,Foreigner,Mick Jones,1944-12-27T00:00:00Z,
http://www.wikidata.org/entity/Q275059,Foreigner,Jeff Pilson,1959-01-19T00:00:00Z,
http://www.wikidata.org/entity/Q275059,Foreigner,Ed Gagliardi,1952-02-13T00:00:00Z,2014-05-11T00:00:00Z
http://www.wikidata.org/entity/Q474218,Raimundos,Digão,1970-11-20T00:00:00Z,
http://www.wikidata.org/entity/Q483248,F.T. Island,Choi Min-hwan,1992-11-11T00:00:00Z,
http://www.wikidata.org/entity/Q285966,Hawkwind,Dave Brock,1941-08-20T00:00:00Z,
http://www.wikidata.org/entity/Q475227,The Jesus Lizard,Duane Denison,1959-01-21T00:00:00Z,
http://www.wikidata.org/entity/Q478721,Rapture,Tomi Ullgrén,1978-06-07T00:00:00Z,
http://www.wikidata.org/entity/Q483248,F.T. Island,Song Seung-hyun,1992-08-21T00:00:00Z,
http://www.wikidata.org/entity/Q93346,The Who,John Entwistle,1944-10-09T00:00:00Z,2002-06-27T00:00:00Z
http://www.wikidata.org/entity/Q93346,The Who,Roger Daltrey,1944-03-01T00:00:00Z,
http://www.wikidata.org/entity/Q58207,Dimmu Borgir,Silenoz,1977-03-01T00:00:00Z,
http://www.wikidata.org/entity/Q58207,Dimmu Borgir,Shagrath,1976-11-18T00:00:00Z,
http://www.wikidata.org/entity/Q58207,Dimmu Borgir,Mustis,1979-09-10T00:00:00Z,
http://www.wikidata.org/entity/Q58207,Dimmu Borgir,Galder,1976-10-18T00:00:00Z,
http://www.wikidata.org/entity/Q484255,Alice in Chains,Layne Staley,1967-08-22T00:00:00Z,2002-04-05T00:00:00Z
http://www.wikidata.org/entity/Q484255,Alice in Chains,Jerry Cantrell,1966-03-18T00:00:00Z,
http://www.wikidata.org/entity/Q201207,Stratovarius,Jens Johansson,1963-11-02T00:00:00Z,
http://www.wikidata.org/entity/Q201207,Stratovarius,Lauri Porra,1977-12-13T00:00:00Z,
http://www.wikidata.org/entity/Q201207,Stratovarius,Timo Tolkki,1966-03-03T00:00:00Z,
http://www.wikidata.org/entity/Q201207,Stratovarius,Timo Kotipelto,1969-03-15T00:00:00Z,
http://www.wikidata.org/entity/Q302155,Bleeding Through,Marta Peterson,1984-12-31T00:00:00Z,
http://www.wikidata.org/entity/Q200000,Dúné,Ole Bjørn Sørensen,1988-10-16T00:00:00Z,
http://www.wikidata.org/entity/Q200000,Dúné,Mattias Kolstrup,1988-09-11T00:00:00Z,
http://www.wikidata.org/entity/Q200000,Dúné,Piotrek Wasilewski,1987-08-29T00:00:00Z,
http://www.wikidata.org/entity/Q302155,Bleeding Through,Brandan Schieppati,1980-08-03T00:00:00Z,
http://www.wikidata.org/entity/Q483810,The Cranberries,Mike Hogan,1973-04-29T00:00:00Z,
http://www.wikidata.org/entity/Q285190,Molly Hatchet,Danny Joe Brown,1951-08-24T00:00:00Z,2005-03-10T00:00:00Z
http://www.wikidata.org/entity/Q285190,Molly Hatchet,Dave Hlubek,1951-08-28T00:00:00Z,2017-09-03T00:00:00Z
http://www.wikidata.org/entity/Q285190,Molly Hatchet,Duane Roland,1953-12-03T00:00:00Z,2006-06-19T00:00:00Z
http://www.wikidata.org/entity/Q285190,Molly Hatchet,Jimmy Farrar,1950-12-08T00:00:00Z,2018-10-29T00:00:00Z
http://www.wikidata.org/entity/Q285190,Molly Hatchet,Bruce Crump,1957-07-17T00:00:00Z,2015-03-16T00:00:00Z
http://www.wikidata.org/entity/Q483810,The Cranberries,Noel Hogan,1971-12-25T00:00:00Z,
http://www.wikidata.org/entity/Q483810,The Cranberries,Dolores O'Riordan,1971-09-06T00:00:00Z,2018-01-15T00:00:00Z
http://www.wikidata.org/entity/Q483810,The Cranberries,Fergal Patrick Lawler,1971-03-04T00:00:00Z,
http://www.wikidata.org/entity/Q211965,The Moody Blues,Graeme Edge,1941-03-30T00:00:00Z,
http://www.wikidata.org/entity/Q211965,The Moody Blues,Ray Thomas,1941-12-29T00:00:00Z,2018-01-04T00:00:00Z
http://www.wikidata.org/entity/Q211965,The Moody Blues,Mike Pinder,1941-12-27T00:00:00Z,
http://www.wikidata.org/entity/Q10708,Red Hot Chili Peppers,Flea,1962-10-16T00:00:00Z,
http://www.wikidata.org/entity/Q10708,Red Hot Chili Peppers,Hillel Slovak,1962-04-13T00:00:00Z,1988-06-25T00:00:00Z
http://www.wikidata.org/entity/Q202741,Blondie,Debbie Harry,1945-07-01T00:00:00Z,
http://www.wikidata.org/entity/Q202741,Blondie,Chris Stein,1950-01-05T00:00:00Z,
http://www.wikidata.org/entity/Q202741,Blondie,Clem Burke,1955-11-24T00:00:00Z,
http://www.wikidata.org/entity/Q75788,Eluveitie,Fabienne Erni,1993-03-11T00:00:00Z,
http://www.wikidata.org/entity/Q75788,Eluveitie,Siméon Koch,1982-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q285190,Molly Hatchet,Steve Holland,1954-01-01T00:00:00Z,2020-08-02T00:00:00Z
http://www.wikidata.org/entity/Q285190,Molly Hatchet,Banner Thomas,1956-09-06T00:00:00Z,2017-04-10T00:00:00Z
http://www.wikidata.org/entity/Q75788,Eluveitie,Päde Kistler,1975-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q4299,Coheed and Cambria,Claudio Sanchez,1978-03-12T00:00:00Z,
http://www.wikidata.org/entity/Q4299,Coheed and Cambria,Travis Stever,1978-11-25T00:00:00Z,
http://www.wikidata.org/entity/Q3269,The Rezillos,Jo Callis,1951-05-02T00:00:00Z,
http://www.wikidata.org/entity/Q101505,Deep Purple,Ian Paice,1948-06-29T00:00:00Z,
http://www.wikidata.org/entity/Q101505,Deep Purple,Ian Gillan,1945-08-19T00:00:00Z,
http://www.wikidata.org/entity/Q101505,Deep Purple,Jon Lord,1941-06-09T00:00:00Z,2012-07-16T00:00:00Z
http://www.wikidata.org/entity/Q101505,Deep Purple,Ritchie Blackmore,1945-04-14T00:00:00Z,
http://www.wikidata.org/entity/Q483802,Nickelback,Daniel Adair,1975-02-19T00:00:00Z,
http://www.wikidata.org/entity/Q483802,Nickelback,Chad Kroeger,1974-11-15T00:00:00Z,
http://www.wikidata.org/entity/Q483802,Nickelback,Ryan Peake,1973-03-01T00:00:00Z,
http://www.wikidata.org/entity/Q484255,Alice in Chains,Sean Kinney,1966-05-27T00:00:00Z,
http://www.wikidata.org/entity/Q484255,Alice in Chains,William DuVall,1967-09-06T00:00:00Z,
http://www.wikidata.org/entity/Q484255,Alice in Chains,Mike Inez,1966-05-14T00:00:00Z,
http://www.wikidata.org/entity/Q207472,Toto,Steve Porcaro,1957-09-02T00:00:00Z,
http://www.wikidata.org/entity/Q207472,Toto,David Paich,1954-06-25T00:00:00Z,
http://www.wikidata.org/entity/Q207472,Toto,Joseph Williams,1960-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q207472,Toto,Steve Lukather,1957-10-21T00:00:00Z,
http://www.wikidata.org/entity/Q192863,Amon Amarth,Ted Lundström,1974-04-16T00:00:00Z,
http://www.wikidata.org/entity/Q192863,Amon Amarth,Johan Hegg,1973-04-29T00:00:00Z,
http://www.wikidata.org/entity/Q192863,Amon Amarth,Olavi Mikkonen,1973-08-25T00:00:00Z,
http://www.wikidata.org/entity/Q192863,Amon Amarth,Johan Söderberg,1972-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q485893,Marilyn Manson,Marilyn Manson,1969-01-05T00:00:00Z,
http://www.wikidata.org/entity/Q483285,My Chemical Romance,Mikey Way,1980-09-10T00:00:00Z,
http://www.wikidata.org/entity/Q101505,Deep Purple,Tommy Bolin,1951-08-01T00:00:00Z,1976-12-04T00:00:00Z
http://www.wikidata.org/entity/Q322265,Status Quo,Rick Parfitt,1948-10-12T00:00:00Z,2016-12-24T00:00:00Z
http://www.wikidata.org/entity/Q93346,The Who,Pete Townshend,1945-05-19T00:00:00Z,
http://www.wikidata.org/entity/Q93346,The Who,Zak Starkey,1965-09-13T00:00:00Z,
http://www.wikidata.org/entity/Q93346,The Who,Keith Moon,1946-08-23T00:00:00Z,1978-09-07T00:00:00Z
http://www.wikidata.org/entity/Q11036,The Rolling Stones,Bill Wyman,1936-10-24T00:00:00Z,
http://www.wikidata.org/entity/Q11036,The Rolling Stones,Mick Taylor,1949-01-17T00:00:00Z,
http://www.wikidata.org/entity/Q11036,The Rolling Stones,Mick Taylor,1948-01-17T00:00:00Z,
http://www.wikidata.org/entity/Q11036,The Rolling Stones,Charlie Watts,1941-06-02T00:00:00Z,
http://www.wikidata.org/entity/Q291339,Battlelore,Kaisa Jouhki,1980-07-07T00:00:00Z,
http://www.wikidata.org/entity/Q291339,Battlelore,Tomi Mykkänen,1974-09-18T00:00:00Z,
http://www.wikidata.org/entity/Q291339,Battlelore,Timo Honkanen,1979-12-14T00:00:00Z,
http://www.wikidata.org/entity/Q291339,Battlelore,Maria Honkanen,1982-01-08T00:00:00Z,
http://www.wikidata.org/entity/Q291339,Battlelore,Jyri Vahvanen,1978-07-07T00:00:00Z,
http://www.wikidata.org/entity/Q291339,Battlelore,Henri Vahvanen,1983-06-29T00:00:00Z,
http://www.wikidata.org/entity/Q291339,Battlelore,Jussi Rautio,1978-01-17T00:00:00Z,
http://www.wikidata.org/entity/Q488260,Jefferson Airplane,Marty Balin,1942-01-30T00:00:00Z,2018-09-27T00:00:00Z
http://www.wikidata.org/entity/Q488260,Jefferson Airplane,Jorma Kaukonen,1940-12-23T00:00:00Z,
http://www.wikidata.org/entity/Q488260,Jefferson Airplane,Spencer Dryden,1938-04-07T00:00:00Z,2005-01-11T00:00:00Z
http://www.wikidata.org/entity/Q11649,Nirvana,Krist Novoselic,1965-05-16T00:00:00Z,
http://www.wikidata.org/entity/Q11649,Nirvana,Aaron Burckhard,1963-11-14T00:00:00Z,
http://www.wikidata.org/entity/Q205838,Bloc Party,Kele Okereke,1981-10-13T00:00:00Z,
http://www.wikidata.org/entity/Q204328,Kansas,Steve Morse,1954-07-28T00:00:00Z,
http://www.wikidata.org/entity/Q485679,The Rasmus,Lauri Ylönen,1979-04-23T00:00:00Z,
http://www.wikidata.org/entity/Q485679,The Rasmus,Aki Hakala,1979-10-28T00:00:00Z,
http://www.wikidata.org/entity/Q485679,The Rasmus,Eero Heinonen,1979-11-27T00:00:00Z,
http://www.wikidata.org/entity/Q485679,The Rasmus,Pauli Rantasalmi,1979-05-01T00:00:00Z,
http://www.wikidata.org/entity/Q108666,Uriah Heep,Davey Rimmer,1968-12-06T00:00:00Z,
http://www.wikidata.org/entity/Q382890,Oasis,Liam Gallagher,1972-09-21T00:00:00Z,
http://www.wikidata.org/entity/Q382890,Oasis,Noel Gallagher,1967-05-29T00:00:00Z,
http://www.wikidata.org/entity/Q11036,The Rolling Stones,Ronnie Wood,1947-06-01T00:00:00Z,
http://www.wikidata.org/entity/Q11036,The Rolling Stones,Brian Jones,1942-02-28T00:00:00Z,1969-07-03T00:00:00Z
http://www.wikidata.org/entity/Q211583,The Strokes,Nikolai Fraiture,1978-11-13T00:00:00Z,
http://www.wikidata.org/entity/Q211770,T. Rex,Marc Bolan,1947-09-30T00:00:00Z,1977-09-16T00:00:00Z
http://www.wikidata.org/entity/Q278901,Shturtzite,Petar Gyuzelev,1945-12-10T00:00:00Z,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q282855,Parkway Drive,Winston McCall,1981-09-06T00:00:00Z,
http://www.wikidata.org/entity/Q278901,Shturtzite,Valdi Totev,1951-08-04T00:00:00Z,
http://www.wikidata.org/entity/Q281253,HELLYEAH,Chad Gray,1971-10-16T00:00:00Z,
http://www.wikidata.org/entity/Q281253,HELLYEAH,Bob Kakaha,1970-03-06T00:00:00Z,
http://www.wikidata.org/entity/Q281253,HELLYEAH,Vinnie Paul,1964-03-11T00:00:00Z,2018-06-22T00:00:00Z
http://www.wikidata.org/entity/Q201207,Stratovarius,Matias Kupiainen,1983-05-11T00:00:00Z,
http://www.wikidata.org/entity/Q201207,Stratovarius,Rolf Pilve,1987-10-23T00:00:00Z,
