DogName,Count,Rank,Date,Set
ANGUS,7,242,07/13/2017 12:00:00 AM,1
ATLAS,7,242,07/13/2017 12:00:00 AM,1
AUTUMN,7,242,07/13/2017 12:00:00 AM,1
BEAU,7,242,07/13/2017 12:00:00 AM,1
BERNIE,7,242,07/13/2017 12:00:00 AM,1
BRISTOL,7,242,07/13/2017 12:00:00 AM,1
BRUCE,7,242,07/13/2017 12:00:00 AM,1
BRUNO,7,242,07/13/2017 12:00:00 AM,1
CAPTAIN,7,242,07/13/2017 12:00:00 AM,1
COMET,7,242,07/13/2017 12:00:00 AM,1
CRICKET,7,242,07/13/2017 12:00:00 AM,1
EDDIE,7,242,07/13/2017 12:00:00 AM,1
ELLA,7,242,07/13/2017 12:00:00 AM,1
ELSA,7,242,07/13/2017 12:00:00 AM,1
FOXY,7,242,07/13/2017 12:00:00 AM,1
GIGI,7,242,07/13/2017 12:00:00 AM,1
GRIZZLY,7,242,07/13/2017 12:00:00 AM,1
HANNAH,7,242,07/13/2017 12:00:00 AM,1
JAZZ,7,242,07/13/2017 12:00:00 AM,1
JESSIE,7,242,07/13/2017 12:00:00 AM,1
JOSIE,7,242,07/13/2017 12:00:00 AM,1
KAISER,7,242,07/13/2017 12:00:00 AM,1
KALI,7,242,07/13/2017 12:00:00 AM,1
KARMA,7,242,07/13/2017 12:00:00 AM,1
KAYA,7,242,07/13/2017 12:00:00 AM,1
KINLEY,7,242,07/13/2017 12:00:00 AM,1
KOBE,7,242,07/13/2017 12:00:00 AM,1
LOGAN,7,242,07/13/2017 12:00:00 AM,1
MACY,7,242,07/13/2017 12:00:00 AM,1
MASON,7,242,07/13/2017 12:00:00 AM,1
MISHKA,7,242,07/13/2017 12:00:00 AM,1
NIKKI,7,242,07/13/2017 12:00:00 AM,1
OLAF,7,242,07/13/2017 12:00:00 AM,1
PARKER,7,242,07/13/2017 12:00:00 AM,1
PATCHES,7,242,07/13/2017 12:00:00 AM,1
PRECIOUS,7,242,07/13/2017 12:00:00 AM,1
REMINGTON,7,242,07/13/2017 12:00:00 AM,1
ROO,7,242,07/13/2017 12:00:00 AM,1
ROWDY,7,242,07/13/2017 12:00:00 AM,1
SABLE,7,242,07/13/2017 12:00:00 AM,1
SARAH,7,242,07/13/2017 12:00:00 AM,1
SCRAPPY,7,242,07/13/2017 12:00:00 AM,1
SHEBA,7,242,07/13/2017 12:00:00 AM,1
SHELBY,7,242,07/13/2017 12:00:00 AM,1
SIMBA,7,242,07/13/2017 12:00:00 AM,1
SKIPPY,7,242,07/13/2017 12:00:00 AM,1
SKYE,7,242,07/13/2017 12:00:00 AM,1
WILLIE,7,242,07/13/2017 12:00:00 AM,1
ABIGAIL,6,292,07/13/2017 12:00:00 AM,1
ALICE,6,292,07/13/2017 12:00:00 AM,1
ALYESKA,6,292,07/13/2017 12:00:00 AM,1
ANNA,6,292,07/13/2017 12:00:00 AM,1
ARCHIE,6,292,07/13/2017 12:00:00 AM,1
AXEL,6,292,07/13/2017 12:00:00 AM,1
BARKLEY,6,292,07/13/2017 12:00:00 AM,1
BETTY,6,292,07/13/2017 12:00:00 AM,1
BLAZE,6,292,07/13/2017 12:00:00 AM,1
BOBBY,6,292,07/13/2017 12:00:00 AM,1
BOLT,6,292,07/13/2017 12:00:00 AM,1
BOWSER,6,292,07/13/2017 12:00:00 AM,1
BRODIE,6,292,07/13/2017 12:00:00 AM,1
BUTTERS,6,292,07/13/2017 12:00:00 AM,1
CAESAR,6,292,07/13/2017 12:00:00 AM,1
CASPER,6,292,07/13/2017 12:00:00 AM,1
CEDAR,6,292,07/13/2017 12:00:00 AM,1
CHAMP,6,292,07/13/2017 12:00:00 AM,1
CHEVY,6,292,07/13/2017 12:00:00 AM,1
CHIEF,6,292,07/13/2017 12:00:00 AM,1
CHINOOK,6,292,07/13/2017 12:00:00 AM,1
CLYDE,6,292,07/13/2017 12:00:00 AM,1
COWBOY,6,292,07/13/2017 12:00:00 AM,1
DAPHNE,6,292,07/13/2017 12:00:00 AM,1
DAWSON,6,292,07/13/2017 12:00:00 AM,1
DAX,6,292,07/13/2017 12:00:00 AM,1
DEUCE,6,292,07/13/2017 12:00:00 AM,1
DRAKE,6,292,07/13/2017 12:00:00 AM,1
DUTCHESS,6,292,07/13/2017 12:00:00 AM,1
ELVIS,6,292,07/13/2017 12:00:00 AM,1
FANCY,6,292,07/13/2017 12:00:00 AM,1
FRECKLES,6,292,07/13/2017 12:00:00 AM,1
GABBY,6,292,07/13/2017 12:00:00 AM,1
GRACE,6,292,07/13/2017 12:00:00 AM,1
GRETA,6,292,07/13/2017 12:00:00 AM,1
JOE,6,292,07/13/2017 12:00:00 AM,1
KIMBER,6,292,07/13/2017 12:00:00 AM,1
KITA,6,292,07/13/2017 12:00:00 AM,1
LEIA,6,292,07/13/2017 12:00:00 AM,1
LIBERTY,6,292,07/13/2017 12:00:00 AM,1
MADISON,6,292,07/13/2017 12:00:00 AM,1
MERLIN,6,292,07/13/2017 12:00:00 AM,1
PACO,6,292,07/13/2017 12:00:00 AM,1
PANDA,6,292,07/13/2017 12:00:00 AM,1
PEARL,6,292,07/13/2017 12:00:00 AM,1
PENELOPE,6,292,07/13/2017 12:00:00 AM,1
PETE,6,292,07/13/2017 12:00:00 AM,1
PIXIE,6,292,07/13/2017 12:00:00 AM,1
PONCHO,6,292,07/13/2017 12:00:00 AM,1
RAIDER,6,292,07/13/2017 12:00:00 AM,1
RAMBO,6,292,07/13/2017 12:00:00 AM,1
RASCAL,6,292,07/13/2017 12:00:00 AM,1
REGGIE,6,292,07/13/2017 12:00:00 AM,1
REMI,6,292,07/13/2017 12:00:00 AM,1
ROSE,6,292,07/13/2017 12:00:00 AM,1
ROSEY,6,292,07/13/2017 12:00:00 AM,1
SIMON,6,292,07/13/2017 12:00:00 AM,1
TINKERBELL,6,292,07/13/2017 12:00:00 AM,1
TINY,6,292,07/13/2017 12:00:00 AM,1
TRAPPER,6,292,07/13/2017 12:00:00 AM,1
WATSON,6,292,07/13/2017 12:00:00 AM,1
WINNIE,6,292,07/13/2017 12:00:00 AM,1
YUKI,6,292,07/13/2017 12:00:00 AM,1
ZORRO,6,292,07/13/2017 12:00:00 AM,1
AJAX,5,356,07/13/2017 12:00:00 AM,1
ANDY,5,356,07/13/2017 12:00:00 AM,1
ATTU,5,356,07/13/2017 12:00:00 AM,1
BABE,5,356,07/13/2017 12:00:00 AM,1
BANJO,5,356,07/13/2017 12:00:00 AM,1
BEN,5,356,07/13/2017 12:00:00 AM,1
BINGO,5,356,07/13/2017 12:00:00 AM,1
BODHI,5,356,07/13/2017 12:00:00 AM,1
BORIS,5,356,07/13/2017 12:00:00 AM,1
BRADY,5,356,07/13/2017 12:00:00 AM,1
BRANDY,5,356,07/13/2017 12:00:00 AM,1
BROWNIE,5,356,07/13/2017 12:00:00 AM,1
BUCK,5,356,07/13/2017 12:00:00 AM,1
BUZZ,5,356,07/13/2017 12:00:00 AM,1
CAPONE,5,356,07/13/2017 12:00:00 AM,1
CHEWIE,5,356,07/13/2017 12:00:00 AM,1
CHIP,5,356,07/13/2017 12:00:00 AM,1
COHO,5,356,07/13/2017 12:00:00 AM,1
CRUISER,5,356,07/13/2017 12:00:00 AM,1
DAISY MAE,5,356,07/13/2017 12:00:00 AM,1
DASH,5,356,07/13/2017 12:00:00 AM,1
ELI,5,356,07/13/2017 12:00:00 AM,1
ENZO,5,356,07/13/2017 12:00:00 AM,1
EVA,5,356,07/13/2017 12:00:00 AM,1
FIONA,5,356,07/13/2017 12:00:00 AM,1
GIDGET,5,356,07/13/2017 12:00:00 AM,1
GINNY,5,356,07/13/2017 12:00:00 AM,1
GOLDIE,5,356,07/13/2017 12:00:00 AM,1
GYPSY,5,356,07/13/2017 12:00:00 AM,1
ISABELLA,5,356,07/13/2017 12:00:00 AM,1
IVY,5,356,07/13/2017 12:00:00 AM,1
KIERA,5,356,07/13/2017 12:00:00 AM,1
KIKI,5,356,07/13/2017 12:00:00 AM,1
KIRA,5,356,07/13/2017 12:00:00 AM,1
LACEY,5,356,07/13/2017 12:00:00 AM,1
LENNY,5,356,07/13/2017 12:00:00 AM,1
LIZZIE,5,356,07/13/2017 12:00:00 AM,1
MACK,5,356,07/13/2017 12:00:00 AM,1
MAISY,5,356,07/13/2017 12:00:00 AM,1
MISTER,5,356,07/13/2017 12:00:00 AM,1
MYA,5,356,07/13/2017 12:00:00 AM,1
NANOOK,5,356,07/13/2017 12:00:00 AM,1
NEMO,5,356,07/13/2017 12:00:00 AM,1
NYX,5,356,07/13/2017 12:00:00 AM,1
OLIVIA,5,356,07/13/2017 12:00:00 AM,1
PAPI,5,356,07/13/2017 12:00:00 AM,1
PEACHES,5,356,07/13/2017 12:00:00 AM,1
RADAR,5,356,07/13/2017 12:00:00 AM,1
REBEL,5,356,07/13/2017 12:00:00 AM,1
RED,5,356,07/13/2017 12:00:00 AM,1
RINGO,5,356,07/13/2017 12:00:00 AM,1
ROGUE,5,356,07/13/2017 12:00:00 AM,1
ROLO,5,356,07/13/2017 12:00:00 AM,1
SCOOBY,5,356,07/13/2017 12:00:00 AM,1
SEAMUS,5,356,07/13/2017 12:00:00 AM,1
SHERMAN,5,356,07/13/2017 12:00:00 AM,1
SONNY,5,356,07/13/2017 12:00:00 AM,1
SOPHIA,5,356,07/13/2017 12:00:00 AM,1
TASHA,5,356,07/13/2017 12:00:00 AM,1
TIA,5,356,07/13/2017 12:00:00 AM,1
TONKA,5,356,07/13/2017 12:00:00 AM,1
TORI,5,356,07/13/2017 12:00:00 AM,1
TROY,5,356,07/13/2017 12:00:00 AM,1
TUNDRA,5,356,07/13/2017 12:00:00 AM,1
WYATT,5,356,07/13/2017 12:00:00 AM,1
YODA,5,356,07/13/2017 12:00:00 AM,1
ZIVA,5,356,07/13/2017 12:00:00 AM,1
ZUES,5,356,07/13/2017 12:00:00 AM,1
APRIL,4,424,07/13/2017 12:00:00 AM,1
ABBIE,4,424,07/13/2017 12:00:00 AM,1
ADAK,4,424,07/13/2017 12:00:00 AM,1
ARES,4,424,07/13/2017 12:00:00 AM,1
ATIGUN,4,424,07/13/2017 12:00:00 AM,1
AUGGIE,4,424,07/13/2017 12:00:00 AM,1
AVA,4,424,07/13/2017 12:00:00 AM,1
AZUL,4,424,07/13/2017 12:00:00 AM,1
BABY GIRL,4,424,07/13/2017 12:00:00 AM,1
BENELLI,4,424,07/13/2017 12:00:00 AM,1
BENJI,4,424,07/13/2017 12:00:00 AM,1
BROOKS,4,424,07/13/2017 12:00:00 AM,1
CEASAR,4,424,07/13/2017 12:00:00 AM,1
CHAI,4,424,07/13/2017 12:00:00 AM,1
CHILI,4,424,07/13/2017 12:00:00 AM,1
CINDER,4,424,07/13/2017 12:00:00 AM,1
CLOVER,4,424,07/13/2017 12:00:00 AM,1
COLBY,4,424,07/13/2017 12:00:00 AM,1
COLE,4,424,07/13/2017 12:00:00 AM,1
DAISEY,4,424,07/13/2017 12:00:00 AM,1
DIEGO,4,424,07/13/2017 12:00:00 AM,1
DIGGER,4,424,07/13/2017 12:00:00 AM,1
DJ,4,424,07/13/2017 12:00:00 AM,1
DORA,4,424,07/13/2017 12:00:00 AM,1
DOUGLAS,4,424,07/13/2017 12:00:00 AM,1
DYLAN,4,424,07/13/2017 12:00:00 AM,1
EBONY,4,424,07/13/2017 12:00:00 AM,1
EMMETT,4,424,07/13/2017 12:00:00 AM,1
EMMY,4,424,07/13/2017 12:00:00 AM,1
FINLEY,4,424,07/13/2017 12:00:00 AM,1
FRANK,4,424,07/13/2017 12:00:00 AM,1
FRANKLIN,4,424,07/13/2017 12:00:00 AM,1
FRED,4,424,07/13/2017 12:00:00 AM,1
FREYA,4,424,07/13/2017 12:00:00 AM,1
FRODO,4,424,07/13/2017 12:00:00 AM,1
GEMMA,4,424,07/13/2017 12:00:00 AM,1
GERTIE,4,424,07/13/2017 12:00:00 AM,1
GOOSE,4,424,07/13/2017 12:00:00 AM,1
GUCCI,4,424,07/13/2017 12:00:00 AM,1
HAPPY,4,424,07/13/2017 12:00:00 AM,1
HARVEY,4,424,07/13/2017 12:00:00 AM,1
HATCHER,4,424,07/13/2017 12:00:00 AM,1
HOWIE,4,424,07/13/2017 12:00:00 AM,1
HUCK,4,424,07/13/2017 12:00:00 AM,1
IGGY,4,424,07/13/2017 12:00:00 AM,1
INDY,4,424,07/13/2017 12:00:00 AM,1
IVAN,4,424,07/13/2017 12:00:00 AM,1
JAGER,4,424,07/13/2017 12:00:00 AM,1
JAXON,4,424,07/13/2017 12:00:00 AM,1
JENNY,4,424,07/13/2017 12:00:00 AM,1
JESSE,4,424,07/13/2017 12:00:00 AM,1
JEWELS,4,424,07/13/2017 12:00:00 AM,1
JUNEAU,4,424,07/13/2017 12:00:00 AM,1
KAYLEE,4,424,07/13/2017 12:00:00 AM,1
KEENA,4,424,07/13/2017 12:00:00 AM,1
KILO,4,424,07/13/2017 12:00:00 AM,1
KODY,4,424,07/13/2017 12:00:00 AM,1
LENA,4,424,07/13/2017 12:00:00 AM,1
LEXIE,4,424,07/13/2017 12:00:00 AM,1
LIZZY,4,424,07/13/2017 12:00:00 AM,1
LYLA,4,424,07/13/2017 12:00:00 AM,1
MAC,4,424,07/13/2017 12:00:00 AM,1
MACKENZIE,4,424,07/13/2017 12:00:00 AM,1
MAIZY,4,424,07/13/2017 12:00:00 AM,1
MANDY,4,424,07/13/2017 12:00:00 AM,1
MARY,4,424,07/13/2017 12:00:00 AM,1
MARY JANE,4,424,07/13/2017 12:00:00 AM,1
MATILDA,4,424,07/13/2017 12:00:00 AM,1
MCKENZIE,4,424,07/13/2017 12:00:00 AM,1
MIMI,4,424,07/13/2017 12:00:00 AM,1
MISHA,4,424,07/13/2017 12:00:00 AM,1
MISKA,4,424,07/13/2017 12:00:00 AM,1
MOE,4,424,07/13/2017 12:00:00 AM,1
MOKI,4,424,07/13/2017 12:00:00 AM,1
MOLLIE,4,424,07/13/2017 12:00:00 AM,1
MOXIE,4,424,07/13/2017 12:00:00 AM,1
NAHLA,4,424,07/13/2017 12:00:00 AM,1
NIKO,4,424,07/13/2017 12:00:00 AM,1
NORMAN,4,424,07/13/2017 12:00:00 AM,1
O'MALLEY,4,424,07/13/2017 12:00:00 AM,1
OPIE,4,424,07/13/2017 12:00:00 AM,1
OTTO,4,424,07/13/2017 12:00:00 AM,1
OZZY,4,424,07/13/2017 12:00:00 AM,1
PAISLEY,4,424,07/13/2017 12:00:00 AM,1
